# IntelliJ IDEA Java code-style option inventory — the complete Java setting surface.
#
# Extracted from intellij-community @ master:
#   platform/code-style-api/src/com/intellij/psi/codeStyle/CommonCodeStyleSettings.java
#     (`common` scope, and its nested `IndentOptions` as the `indent` scope)
#   java/java-frontback-impl/src/com/intellij/psi/codeStyle/JavaCodeStyleSettings.java
#     (`java` scope; `JavaLanguageCodeStyleSettingsProvider.getAdditionalAccessors` adds
#      the synthetic `repeat_annotations` list property)
#
# Columns: xml-option-name <TAB> scope <TAB> value-kind <TAB> editorconfig-key
#
#   scope           where the option lives in a code-style scheme XML:
#     indent        <codeStyleSettings language="JAVA"><indentOptions>
#     common        <codeStyleSettings language="JAVA">
#     java          <JavaCodeStyleSettings>
#     general       <code_scheme> directly (GeneralCodeStylePropertyMapper's GENERAL_FIELDS —
#                   language-neutral, so its .editorconfig keys take the bare `ij_` domain)
#     editorconfig  no XML representation at all: an EditorConfig core property IntelliJ honors
#                   but stores outside the code-style scheme
#
#   value-kind      bool | int | string | wrap | brace | force-braces | package-table |
#                   value-list | wrap-on-typing | rearrange-mode | javadoc-names
#                   (`wrap` / `brace` / `force-braces` are raw ints in XML and named tokens
#                    in .editorconfig, with a *different* table per kind)
#
#   editorconfig-key  the `.editorconfig` spelling, `-` when the option is XML-only.
#     It is `ij_java_` + `PropertyNameUtil.getPropertyName(field)` — the field name
#     lowercased, with the SPACE_WITHIN -> SPACES_WITHIN / SPACE_AROUND -> SPACES_AROUND
#     rewrites — unless `@Property(externalName = ...)` overrides it (JD_* -> doc_*,
#     BRACE_STYLE -> block_brace_style, ...). Four settings surface under their universal
#     EditorConfig names instead (indent_size / tab_width / indent_style / max_line_length),
#     and two under the language-neutral `ij_` domain (ij_continuation_indent_size /
#     ij_smart_tabs). Java exposes only the SmartIndentOptionsEditor subset of
#     <indentOptions>; the rest of that scope is XML-only.
#
# `import::intellij`'s coverage test asserts every row here is captured by the model.
ALIGN_CONSECUTIVE_ASSIGNMENTS	common	bool	ij_java_align_consecutive_assignments
ALIGN_CONSECUTIVE_VARIABLE_DECLARATIONS	common	bool	ij_java_align_consecutive_variable_declarations
ALIGN_GROUP_FIELD_DECLARATIONS	common	bool	ij_java_align_group_field_declarations
ALIGN_MULTILINE_ANNOTATION_PARAMETERS	java	bool	ij_java_align_multiline_annotation_parameters
ALIGN_MULTILINE_ARRAY_INITIALIZER_EXPRESSION	common	bool	ij_java_align_multiline_array_initializer_expression
ALIGN_MULTILINE_ASSIGNMENT	common	bool	ij_java_align_multiline_assignment
ALIGN_MULTILINE_BINARY_OPERATION	common	bool	ij_java_align_multiline_binary_operation
ALIGN_MULTILINE_CHAINED_METHODS	common	bool	ij_java_align_multiline_chained_methods
ALIGN_MULTILINE_DECONSTRUCTION_LIST_COMPONENTS	java	bool	ij_java_align_multiline_deconstruction_list_components
ALIGN_MULTILINE_EXTENDS_LIST	common	bool	ij_java_align_multiline_extends_list
ALIGN_MULTILINE_FOR	common	bool	ij_java_align_multiline_for
ALIGN_MULTILINE_METHOD_BRACKETS	common	bool	ij_java_align_multiline_method_parentheses
ALIGN_MULTILINE_PARAMETERS	common	bool	ij_java_align_multiline_parameters
ALIGN_MULTILINE_PARAMETERS_IN_CALLS	common	bool	ij_java_align_multiline_parameters_in_calls
ALIGN_MULTILINE_PARENTHESIZED_EXPRESSION	common	bool	ij_java_align_multiline_parenthesized_expression
ALIGN_MULTILINE_RECORDS	java	bool	ij_java_align_multiline_records
ALIGN_MULTILINE_RESOURCES	common	bool	ij_java_align_multiline_resources
ALIGN_MULTILINE_TERNARY_OPERATION	common	bool	ij_java_align_multiline_ternary_operation
ALIGN_MULTILINE_TEXT_BLOCKS	java	bool	ij_java_align_multiline_text_blocks
ALIGN_MULTILINE_THROWS_LIST	common	bool	ij_java_align_multiline_throws_list
ALIGN_SUBSEQUENT_SIMPLE_METHODS	common	bool	ij_java_align_subsequent_simple_methods
ALIGN_THROWS_KEYWORD	common	bool	ij_java_align_throws_keyword
ALIGN_TYPES_IN_MULTI_CATCH	java	bool	ij_java_align_types_in_multi_catch
