# clippy lint inventory — the complete `clippy-driver -Whelp` set.
#
# Extracted mechanically on 2026-08-19 from the toolchain this repository builds with:
#   rustc 1.97.1 (8bab26f4f 2026-07-14) / clippy 0.1.97 (8bab26f4f6 2026-07-14)
#   $ clippy-driver -Whelp        # "Lint checks loaded by this crate" — 815 lints
#
# The extraction point is fixed so the table can be re-derived; `jals-lint/MAPPING-rustc-clippy.md`
# is the prose that explains the buckets, and `jals-lint/tests/inventory.rs` is what keeps this file
# and the linter's own registry in step.
#
# Columns: lint <TAB> clippy group <TAB> clippy default <TAB> bucket <TAB> jals rule <TAB> note
#   bucket: M = 実装済みの jals rule に写る       N = 移植可能・未実装（roadmap）
#           R = Rust 固有（構文名指し）           X = Rust 固有（機構レベル）
#           D = 意図的に不採用（note に理由）     C = lint ではない（driver / lint 機構 / cargo）
#   jals rule: M / N のみ。同じ名前が複数行に出るのは多対一の写像で、正しい。
#   note:      D の理由。N では、その jals rule が **既に実装済み** で、この行が既存 rule の
#              拡張であることを示す `既存 rule の拡張`。ほかの bucket では空。
absolute-paths	restriction	allow	N	absolute-type-name	
alloc-instead-of-core	restriction	allow	R		
allow-attributes	restriction	allow	C		
allow-attributes-without-reason	restriction	allow	N	suppression-without-reason	
arbitrary-source-item-ordering	restriction	allow	N	member-ordering	
arithmetic-side-effects	restriction	allow	N	arithmetic-overflow-risk	
assertions-on-result-states	restriction	allow	R		
assigning-clones	pedantic	allow	R		
as-conversions	restriction	allow	N	cast-conversion	
as-pointer-underscore	restriction	allow	R		
as-ptr-cast-mut	nursery	allow	R		
as-underscore	restriction	allow	R		
big-endian-bytes	restriction	allow	N	byte-order	
bool-to-int-with-if	pedantic	allow	N	bool-to-int-with-if	
borrow-as-ptr	pedantic	allow	R		
branches-sharing-code	nursery	allow	N	branches-sharing-code	
cargo-common-metadata	cargo	allow	C		
case-sensitive-file-extension-comparisons	pedantic	allow	N	case-sensitive-extension-check	
cast-lossless	pedantic	allow	N	redundant-cast	
cast-possible-truncation	pedantic	allow	N	narrowing-cast	
cast-possible-wrap	pedantic	allow	R		
cast-precision-loss	pedantic	allow	N	narrowing-cast	
cast-ptr-alignment	pedantic	allow	R		
cast-sign-loss	pedantic	allow	R		
cfg-not-test	restriction	allow	N	cfg-not-test	
checked-conversions	pedantic	allow	N	manual-exact-conversion	
clear-with-drain	nursery	allow	R		
cloned-instead-of-copied	pedantic	allow	R		
clone-on-ref-ptr	restriction	allow	R		
coerce-container-to-any	nursery	allow	R		
cognitive-complexity	restriction	allow	N	cognitive-complexity	
collapsible-else-if	pedantic	allow	N	collapsible-else-if	
collection-is-never-read	nursery	allow	N	collection-never-read	
comparison-chain	pedantic	allow	N	comparison-chain	
copy-iterator	pedantic	allow	R		
create-dir	restriction	allow	N	create-dir-not-recursive	
dbg-macro	restriction	allow	N	debug-print	
debug-assert-with-mut-call	nursery	allow	N	assert-with-side-effect	
decimal-bitwise-operands	pedantic	allow	N	decimal-bitwise-operand	
decimal-literal-representation	restriction	allow	N	decimal-bitwise-operand	
default-numeric-fallback	restriction	allow	R		
